"Month","Toyota_Car_Sales"
1,2699
2,1744
3,1413
4,908
5,1714
6,1485
7,1781
8,1616
9,1164
10,1500
11,1447
12,966
13,1618
14,1436
15,1252
16,1346
17,991
18,861
19,994
20,711
21,940
22,979
23,610
24,765
25,748
26,641
27,759
28,696
29,756
30,548
31,844
32,736
33,1124
34,955
35,1229
36,948
37,1610
38,1117
39,1132
40,830
41,808
42,941
43,1021
44,1121
45,1156
46,1182
47,1323
48,517
49,1190
50,940
51,1041
52,680
53,712
54,504
55,871
56,662
57,704
58,764
59,764
60,542
61,965
62,1124
63,1359
64,970
65,1080
66,1023
67,959
68,904
69,1059
70,1321
71,1031
72,622
73,854
74,1193
75,1018
76,1497
77,1395
78,1232
79,1485
80,1410
81,1426
82,1601
83,1269
84,765
85,1196
86,1109
87,1145
88,960
89,1134
90,1038
91,1064
92,966
93,1170
94,1199
95,1036
96,873
97,1176
98,1153
99,1447
100,1238
101,1019
102,1075
103,1078
104,1064
105,1213
106,1185
107,886
108,619
109,1083
110,1358
111,1519
112,1421
113,1665
114,1582
115,1119
116,1689
117,1711
118,1243
119,1287
120,976
